ListingKey,FirstRecordedCreditLine,Occupation,AmountDelinquent,BorrowerRate,StatedMonthlyIncome,year
EE5035610154267681BD7DC,1987-11-01 00:00:00,Accountant/CPA,0.0,0.0974,12500.0,1987
DF1B3550822828285C1B5B4,1988-07-20 00:00:00,Skilled Labor,0.0,0.2958,4166.666667,1988
A56E35054321454831DFBAB,1985-03-01 00:00:00,Police Officer/Correction Officer,0.0,0.2499,5408.333333,1985
311C359553446107203B214,1998-07-28 00:00:00,Administrative Assistant,0.0,0.285,2813.0,1998
A3E835228295708701135AC,1985-05-21 00:00:00,Construction,0.0,0.2499,5000.0,1985
FBB13592177858275471221,2010-07-31 00:00:00,Student - College Sophomore,0.0,0.2849,250.0,2010
C03136018207565265DFB07,1998-09-21 00:00:00,Construction,0.0,0.1314,5833.333333,1998
3A4C34575982770449095F4,1997-06-20 00:00:00,Computer Programmer,0.0,0.11,7000.0,1997
B9EC35821907131584F3AC8,1997-09-24 00:00:00,Retail Management,0.0,0.1899,3416.666667,1997
E0B43423181871309DD9A86,1996-10-01 00:00:00,Realtor,0.0,0.199,3000.0,1996
679D358483157703415FC02,2004-08-11 00:00:00,Sales - Commission,0.0,0.1679,5833.333333,2004
D5E53533945514500550499,1989-11-01 00:00:00,Administrative Assistant,0.0,0.2511,3750.0,1989
895034196879052072F0A2A,2005-07-17 00:00:00,Laborer,183.0,0.226,2083.416667,2005
F5F73591802848570C9B1D9,1997-09-30 00:00:00,Food Service Management,1826.0,0.2155,5666.666667,1997
FBD93550616785159EC5B12,2000-01-24 00:00:00,Tradesman - Mechanic,0.0,0.183,2666.666667,2000
AAAE3546305976106008BFF,1996-01-25 00:00:00,Skilled Labor,0.0,0.3177,4833.333333,1996
D21F3514709618280D81D1C,1991-07-02 00:00:00,Computer Programmer,0.0,0.2199,7000.0,1991
FEC835752634306957654B6,2002-07-06 00:00:00,Retail Management,0.0,0.1323,4166.666667,2002
760C35329427003728A4890,1998-06-11 00:00:00,Police Officer/Correction Officer,0.0,0.1664,3916.666667,1998
6805352534773259951A9E9,1993-11-20 00:00:00,Police Officer/Correction Officer,0.0,0.3125,6000.0,1993
571535716134416853E12D7,1996-04-09 00:00:00,Administrative Assistant,0.0,0.2124,3750.0,1996
DE033458812595559906234,1989-05-19 00:00:00,Social Worker,0.0,0.1,2166.666667,1989
007A36021719579424AFB89,1995-10-20 00:00:00,Executive,0.0,0.1635,10416.666667,1995
